id,ceremony_id,category_id,year,result,recipients_json,film_tmdb_id,film_title,subject_title,film_release_year,film_poster_path,source_url,source_citation,scraped_at,scrape_version,verified_status,flags_json,notes
bafta.best_film.2010.kathryn_bigelow_unresolved,bafta.2010,bafta.best_film,2010,won,"[{""name"": ""Kathryn Bigelow"", ""role"": null, ""tmdb_person_id"": 14392, ""profile_path"": null}, {""name"": ""Mark Boal"", ""role"": null, ""tmdb_person_id"": 51686, ""profile_path"": null}, {""name"": ""Nicolas Chartier"", ""role"": null, ""tmdb_person_id"": 1031200, ""profile_path"": ""/59ptYCph60CtAtLmWuC9dASHhsp.jpg""}]",12162,The Hurt Locker,,2008,/io2dfBJhasvGbgkCX9cCGVOiA99.jpg,https://en.wikipedia.org/wiki/63rd_British_Academy_Film_Awards,"63rd British Academy Film Awards Wikipedia article, Best Film section",2026-04-27T00:17:16.397837+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_film.2010.james_cameron_unresolved,bafta.2010,bafta.best_film,2010,nominated,"[{""name"": ""James Cameron"", ""role"": null, ""tmdb_person_id"": 2710, ""profile_path"": null}, {""name"": ""Jon Landau"", ""role"": null, ""tmdb_person_id"": 8529, ""profile_path"": ""/9KKHK9oiK87aqahsLazQr4Lvyq4.jpg""}]",19995,Avatar,,2009,/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,https://en.wikipedia.org/wiki/63rd_British_Academy_Film_Awards,"63rd British Academy Film Awards Wikipedia article, Best Film section",2026-04-27T00:17:16.397837+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_film.2010.finola_dwyer_unresolved,bafta.2010,bafta.best_film,2010,nominated,"[{""name"": ""Finola Dwyer"", ""role"": null, ""tmdb_person_id"": 51675, ""profile_path"": null}, {""name"": ""Amanda Posey"", ""role"": null, ""tmdb_person_id"": 34001, ""profile_path"": null}]",24684,An Education,,2009,/gLIvvUdlocGjm8XVLxhWHAKWrRq.jpg,https://en.wikipedia.org/wiki/63rd_British_Academy_Film_Awards,"63rd British Academy Film Awards Wikipedia article, Best Film section",2026-04-27T00:17:16.397837+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_film.2010.lee_daniels_unresolved,bafta.2010,bafta.best_film,2010,nominated,"[{""name"": ""Lee Daniels"", ""role"": null, ""tmdb_person_id"": 20019, ""profile_path"": null}, {""name"": ""Gary Magness"", ""role"": null, ""tmdb_person_id"": 1545917, ""profile_path"": null}]",25793,Precious,,2009,/d4ltLIDbvZskSwbzXqi0Hfv5ma4.jpg,https://en.wikipedia.org/wiki/63rd_British_Academy_Film_Awards,"63rd British Academy Film Awards Wikipedia article, Best Film section",2026-04-27T00:17:16.397837+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_film.2010.ivan_reitman_unresolved,bafta.2010,bafta.best_film,2010,nominated,"[{""name"": ""Ivan Reitman"", ""role"": null, ""tmdb_person_id"": 8858, ""profile_path"": ""/zqD7JCRwqWVAdFqspDU6kzdqkan.jpg""}, {""name"": ""Jason Reitman"", ""role"": null, ""tmdb_person_id"": 52443, ""profile_path"": null}, {""name"": ""Daniel Dubiecki"", ""role"": null, ""tmdb_person_id"": 52448, ""profile_path"": null}]",22947,Up in the Air,,2009,/useGH8nfwlaHK44IWEZdUYJOE2N.jpg,https://en.wikipedia.org/wiki/63rd_British_Academy_Film_Awards,"63rd British Academy Film Awards Wikipedia article, Best Film section",2026-04-27T00:17:16.397837+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_director.2010.kathryn_bigelow_unresolved,bafta.2010,bafta.best_director,2010,won,"[{""name"": ""Kathryn Bigelow"", ""role"": null, ""tmdb_person_id"": 14392, ""profile_path"": null}]",12162,The Hurt Locker,,2008,/io2dfBJhasvGbgkCX9cCGVOiA99.jpg,https://en.wikipedia.org/wiki/63rd_British_Academy_Film_Awards,"63rd British Academy Film Awards Wikipedia article, Best Direction section",2026-04-27T00:17:16.398167+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_director.2010.james_cameron_unresolved,bafta.2010,bafta.best_director,2010,nominated,"[{""name"": ""James Cameron"", ""role"": null, ""tmdb_person_id"": 2710, ""profile_path"": null}]",19995,Avatar,,2009,/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,https://en.wikipedia.org/wiki/63rd_British_Academy_Film_Awards,"63rd British Academy Film Awards Wikipedia article, Best Direction section",2026-04-27T00:17:16.398167+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_director.2010.lone_scherfig_unresolved,bafta.2010,bafta.best_director,2010,nominated,"[{""name"": ""Lone Scherfig"", ""role"": null, ""tmdb_person_id"": 1176, ""profile_path"": null}]",24684,An Education,,2009,/gLIvvUdlocGjm8XVLxhWHAKWrRq.jpg,https://en.wikipedia.org/wiki/63rd_British_Academy_Film_Awards,"63rd British Academy Film Awards Wikipedia article, Best Direction section",2026-04-27T00:17:16.398167+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_director.2010.neill_blomkamp_unresolved,bafta.2010,bafta.best_director,2010,nominated,"[{""name"": ""Neill Blomkamp"", ""role"": null, ""tmdb_person_id"": 82194, ""profile_path"": null}]",17654,District 9,,2009,/tuGlQkqLxnodDSk6mp5c2wvxUEd.jpg,https://en.wikipedia.org/wiki/63rd_British_Academy_Film_Awards,"63rd British Academy Film Awards Wikipedia article, Best Direction section",2026-04-27T00:17:16.398167+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
bafta.best_director.2010.quentin_tarantino_unresolved,bafta.2010,bafta.best_director,2010,nominated,"[{""name"": ""Quentin Tarantino"", ""role"": null, ""tmdb_person_id"": 138, ""profile_path"": null}]",16869,Inglourious Basterds,,2009,/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,https://en.wikipedia.org/wiki/63rd_British_Academy_Film_Awards,"63rd British Academy Film Awards Wikipedia article, Best Direction section",2026-04-27T00:17:16.398167+00:00,scrape-bafta-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
